,Open,High,Low,Close,Volume
2022-02-11 09:00:00-05:00,4.74,4.86,4.7,4.79,0
2022-02-11 09:30:00-05:00,4.760000228881836,5.099599838256836,4.650000095367432,5.045000076293945,1792965
2022-02-11 10:30:00-05:00,5.039999961853027,5.090000152587891,4.875,4.940999984741211,1170207
2022-02-11 11:30:00-05:00,4.945000171661377,5.019999980926514,4.880000114440918,4.994999885559082,481874
2022-02-11 12:30:00-05:00,4.989999771118164,5.005000114440918,4.730000019073486,4.735000133514404,870965
2022-02-11 13:30:00-05:00,4.739999771118164,4.7494001388549805,4.480000019073486,4.489999771118164,1026332
2022-02-11 14:30:00-05:00,4.489999771118164,4.570000171661377,4.440000057220459,4.525000095367432,546630
2022-02-11 15:30:00-05:00,4.519999980926514,4.53000020980835,4.449999809265137,4.480000019073486,403591
2022-02-11 16:00:00-05:00,4.48,4.55,4.46,4.53,0
2022-02-11 17:00:00-05:00,4.52,4.55,4.45,4.54,0
2022-02-11 18:00:00-05:00,4.54,4.54,4.47,4.48,0
2022-02-14 04:00:00-05:00,4.5,4.54,4.3,4.31,0
2022-02-14 06:00:00-05:00,4.37,4.48,4.37,4.4,0
2022-02-14 07:00:00-05:00,4.39,4.45,4.38,4.41,0
2022-02-14 08:00:00-05:00,4.41,4.66,4.38,4.5201,0
2022-02-14 09:00:00-05:00,4.57,4.64,4.5,4.51,0
2022-02-14 09:30:00-05:00,4.583600044250488,4.639999866485596,4.389999866485596,4.429999828338623,1076324
2022-02-14 10:30:00-05:00,4.429999828338623,4.619999885559082,4.369999885559082,4.590000152587891,483040
2022-02-14 11:30:00-05:00,4.60099983215332,4.639999866485596,4.545000076293945,4.585000038146973,388959
2022-02-14 12:30:00-05:00,4.59499979019165,4.619999885559082,4.400000095367432,4.425000190734863,417469
2022-02-14 13:30:00-05:00,4.425000190734863,4.440000057220459,4.199999809265137,4.309999942779541,856098
2022-02-14 14:30:00-05:00,4.289999961853027,4.360000133514404,4.260000228881836,4.304999828338623,244420
2022-02-14 15:30:00-05:00,4.300000190734863,4.349999904632568,4.260000228881836,4.269999980926514,253371
2022-02-14 16:00:00-05:00,4.27,4.27,4.27,4.27,44606
2022-02-15 16:00:00-05:00,4.59,4.61,4.5,4.5999,0
2022-02-15 17:00:00-05:00,4.6,4.65,4.56,4.64,0
2022-02-15 18:00:00-05:00,4.63,4.64,4.59,4.64,0
2022-02-16 04:00:00-05:00,4.61,4.62,4.61,4.61,0
2022-02-16 05:00:00-05:00,4.61,4.72,4.61,4.62,0
2022-02-16 07:00:00-05:00,4.61,4.64,4.53,4.55,0
